year,month,day,humidity,temp,sun,wind
2008,9,15,81,25.4,0,2.7
2008,9,16,70,30.5,8.6,3.4
2008,9,17,76,30.5,3,3.6
2008,9,18,74,28.2,0,3.8
2008,9,19,68,32.6,3.6,4.7
2008,9,20,66,31.8,10.4,3.5
2008,9,21,81,26,1.7,2.5
2008,9,22,66,29.7,11,3.4
2008,9,23,71,28.5,7.3,3
2008,9,24,59,29.6,5.3,3.4
2008,9,25,70,28.7,1.3,3.4
2008,9,26,65,26.6,1.5,5.2
2008,9,27,48,24.2,7.9,4.3
2008,9,28,62,21.2,0,4
2008,9,29,77,18.7,0,3.9
2008,9,30,87,19.7,0,2.7
2009,5,1,45,23.7,11.8,4.1
2009,5,2,54,23.3,11.5,4.2
2009,5,3,63,20.4,0.3,2.5
2009,5,4,66,21.8,2.3,3.1
2009,5,5,69,24.6,2.4,3
2009,5,6,56,26.7,9.9,3.4
2009,5,7,64,23.8,4.2,3.2
2009,5,8,51,27.5,11.4,3.7
2009,5,9,49,26.6,11.7,3.3
2009,5,10,46,27.8,11.5,3.3
2009,5,11,37,28.7,12.6,3.3
2009,5,12,54,29.5,8.8,3.5
2009,5,13,55,28.9,11,4
2009,5,14,36,26.9,12.8,5.2
2009,5,15,39,24.1,3.7,3.5
2009,5,16,53,20.8,0,1.8
2009,5,17,73,21.8,0.3,5
2009,5,18,51,23.5,11.5,3.2
2009,5,19,56,25.2,7.5,2.9
2009,5,20,46,30,9.5,3.1
2009,5,21,57,25.7,0.1,3
2009,5,22,72,22.9,1.6,2.7
2009,5,23,64,26.2,9.8,3.2
2009,5,24,63,24.3,4.7,4.5
2009,5,25,49,28.4,12.2,4.8
2009,5,26,51,26.8,8.3,3.3
2009,5,27,62,23.4,0,3.4
2009,5,28,55,26.2,5.1,7.7
2009,5,29,54,27.4,10.2,7.2
2009,5,30,64,27.4,4.4,4.6
2009,5,31,56,25.3,10.3,3.6
2009,6,1,49,26.6,13.4,3.7
2009,6,2,45,28.5,9.1,3.7
2009,6,3,72,23.2,0,2.9
2009,6,4,75,25,0.8,2.4
2009,6,5,74,24.9,0.1,2.8
2009,6,6,73,25.7,7.5,3.3
2009,6,7,60,28.5,7.9,4.3
2009,6,8,64,27,4.2,3.2
2009,6,9,69,23.4,0,2.3
2009,6,10,87,21,0,2.6
2009,6,11,61,28.2,9.3,3.6
2009,6,12,52,28.5,10.1,3.7
2009,6,13,64,28.4,6.5,3.5
2009,6,14,53,28.8,12,3.7
2009,6,15,56,29,11.1,3.6
2009,6,16,55,29.5,11.1,4.3
2009,6,17,50,30.6,11.7,3.9
2009,6,18,54,31.1,11.4,3.8
2009,6,19,61,30.3,11.6,3.7
2009,6,20,64,31.7,5.5,2.7
2009,6,21,79,26.9,0,1.4
2009,6,22,82,28.8,0.2,3.4
2009,6,23,72,29,5.7,3.2
2009,6,24,71,28.7,7.1,2.2
2009,6,25,59,31,9.9,3.4
2009,6,26,62,30.9,12.7,3.3
2009,6,27,65,30,4.6,2.6
2009,6,28,63,30.8,11.4,3
2009,6,29,84,26.3,0,4
2009,6,30,87,25.5,0,2.1
2009,7,1,87,24.2,0,2.8
2009,7,2,71,28,2.3,3.1
2009,7,3,73,25.9,1,2.9
2009,7,4,69,29,8.6,2.9
2009,7,5,74,27.6,2.6,3.1
2009,7,6,67,31.1,7.7,3.3
2009,7,7,70,30.3,4.6,5.2
2009,7,8,86,26.3,0,4.8
2009,7,9,75,31,0.6,4.2
2009,7,10,81,26.6,0.1,3
2009,7,11,75,29.2,2.9,2
2009,7,12,74,30.2,3,4
2009,7,13,73,31.4,1.4,3.3
2009,7,14,70,32.7,6.9,3.8
2009,7,15,71,29.1,1.5,5
2009,7,16,73,28.3,0.3,1.8
2009,7,17,85,26.5,0,2.1
2009,7,18,70,33.1,5.5,3.2
2009,7,19,68,32.7,2.6,4
2009,7,20,88,28.3,0,2.4
2009,7,21,89,26.1,0,2.7
2009,7,22,76,29.7,3.5,2.5
2009,7,23,65,32.2,9.3,3.6
2009,7,24,79,28,0,2.3
2009,7,25,85,27.4,0.2,3.1
2009,7,26,89,24.9,0,2.6
2009,7,27,72,30.9,8.1,3
2009,7,28,73,30.6,0.7,2.7
2009,7,29,79,28.2,0.1,3.4
2009,7,30,64,32,7.6,3.9
