year,month,day,humidity,temp,sun,wind
2008,9,17,78,29.6,9.2,2.7
2008,9,18,85,24.6,0,2.3
2008,9,19,85,26.4,0,2.1
2008,9,20,83,28,4.4,4.2
2008,9,21,90,26.7,0.5,2.5
2008,9,22,91,22.5,0,3.2
2008,9,23,82,27.4,5.7,2.7
2008,9,24,61,29,10.2,3.7
2008,9,25,76,28.7,4.9,5
2008,9,26,76,29.7,1.3,8.4
2008,9,27,49,22.6,1.7,3
2008,9,28,61,20.1,0,2.8
2008,9,29,85,18.2,0,2.3
2008,9,30,94,18.7,0,2.3
2009,5,1,54,23.1,11.7,4.8
2009,5,2,62,24.2,12,4.9
2009,5,3,62,22.4,4.4,6.5
2009,5,4,62,22.9,8.7,5.7
2009,5,5,83,19.2,0,3.1
2009,5,6,89,18.7,0,4.9
2009,5,7,87,20.9,0.2,5.3
2009,5,8,88,20.9,0.4,2.9
2009,5,9,64,25.7,11.3,3.2
2009,5,10,73,25.1,10.1,3.9
2009,5,11,82,24.1,0.8,2.8
2009,5,12,78,24.2,4.9,5.4
2009,5,13,67,25.3,2.2,3.9
2009,5,14,36,22.8,9.7,5.8
2009,5,15,48,20.2,12,3.8
2009,5,16,65,19.7,0,3.5
2009,5,17,79,22.9,0,7.7
2009,5,18,57,29.7,9.7,5.9
2009,5,19,70,24.1,2.3,4.2
2009,5,20,63,29.5,12.6,3
2009,5,21,66,27.3,7.8,4.5
2009,5,22,65,25.5,3.3,6.7
2009,5,23,73,27.4,6.5,3.9
2009,5,24,78,21,0.5,2.5
2009,5,25,74,22.7,5.8,4.1
2009,5,26,66,25.2,11.5,3.7
2009,5,27,66,25.4,8.4,3.4
2009,5,28,84,19.6,0,4.3
2009,5,29,88,19.7,0,6.2
2009,5,30,90,21.1,0,2.8
2009,5,31,85,26.1,4.4,2.7
2009,6,1,73,23.2,0.8,3.2
2009,6,2,68,24.2,12.5,4.7
2009,6,3,71,25.3,0.3,5.4
2009,6,4,77,23.5,0.1,2.7
2009,6,5,86,21.4,0,2.3
2009,6,6,88,22.8,0,3.2
2009,6,7,72,27.8,10.6,3.3
2009,6,8,79,20.4,0,3
2009,6,9,76,24.4,0.9,2.1
2009,6,10,75,26.4,2,5.7
2009,6,11,85,24.2,0,3.7
2009,6,12,64,27.9,7.4,2.7
2009,6,13,71,26.7,6.3,3.4
2009,6,14,84,22.6,0,3
2009,6,15,81,23.9,1.7,3.5
2009,6,16,83,23.1,0.1,3.6
2009,6,17,77,25.1,3.7,3.4
2009,6,18,79,24,0.2,3.1
2009,6,19,81,24.8,2.9,3.2
2009,6,20,78,26.8,3.2,3.6
2009,6,21,90,25.5,0,3.9
2009,6,22,92,25.8,0,3.4
2009,6,23,75,28.1,5.3,6.8
2009,6,24,83,25.9,0.6,3.1
2009,6,25,80,27.3,1.3,3.1
2009,6,26,76,28.5,5.5,3.5
2009,6,27,69,29.2,9.9,4.1
2009,6,28,85,25.1,0,2.9
2009,6,29,74,29.8,7.3,3.5
2009,6,30,88,24,0,3
2009,7,1,85,27,0,3.2
2009,7,2,91,25.3,0,3.8
2009,7,3,85,26.2,0.2,2.2
2009,7,4,81,27,0.2,2.2
2009,7,5,79,26.2,0.4,3.3
2009,7,6,83,25.8,0,4.5
2009,7,7,78,29.7,8,6.9
2009,7,8,81,27.8,0.6,9.2
2009,7,9,78,29.5,5.6,8.4
2009,7,10,79,27.7,0.6,9.6
2009,7,11,59,27.4,2.3,3.1
2009,7,12,74,27.7,2.6,2.8
2009,7,13,74,30.7,9.1,7.8
2009,7,14,60,31.3,7.8,4.4
2009,7,15,72,31.2,12.4,7.7
2009,7,16,65,33.7,8.7,4.4
2009,7,17,80,27.5,0.8,3.6
2009,7,18,78,29.2,0.6,3.4
2009,7,19,75,30.8,3.4,7.1
2009,7,20,63,30.6,4.4,4.2
2009,7,21,87,24.7,0,2.8
2009,7,22,89,26.1,0,5.1
2009,7,23,79,29.9,1.7,4
2009,7,24,79,30.6,0.8,5.6
2009,7,25,77,31.2,10.2,7.9
2009,7,26,73,32.5,12.9,6.9
2009,7,27,79,31.4,4.7,5.2
2009,7,28,85,28.5,0.1,4.1
2009,7,29,79,31.5,2.1,5.6
2009,7,30,78,32.3,10.3,5.9
2009,7,31,82,25.9,1.4,4.2
2009,8,1,78,28,2.8,3.3
2009,8,2,79,28,2.2,2.6
2009,8,3,80,30.4,3.6,3.3
2009,8,4,85,28.3,0.5,4.5
2009,8,5,80,30.6,1.2,3
2009,8,6,85,29,0.1,2.4
2009,8,7,76,32.4,7.1,5
2009,8,8,81,31.7,3.6,3.2
2009,8,9,84,31.9,0.2,2.9
2009,8,10,90,28,0,3.9
2009,8,11,83,28.1,2.2,4.5
2009,8,12,78,29.7,6,3.3
2009,8,13,79,31.2,8.1,3
2009,8,14,72,29.7,2.7,3.3
2009,8,15,69,31.7,12.4,3.3
2009,8,16,66,32.6,10.2,3.2
2009,8,17,73,29.9,5.1,3.7
2009,8,18,71,30.3,7.4,3.6
2009,8,19,70,30.1,3.4,2.8
