year,month,day,temp,humidity,sun,wind
2008,9,15,25.6,72,0.2,1.9
2008,9,16,29.3,71,6.2,2.8
2008,9,17,30.8,67,4.9,1.9
2008,9,18,27.8,77,0,2.7
2008,9,19,26.1,80,0.6,3.7
2008,9,20,31.5,66,6.9,1.7
2008,9,21,28.3,80,0.7,1.6
2008,9,22,28.5,61,9,1.8
2008,9,23,28.9,62,9.4,2.2
2008,9,24,28,51,9.4,2.4
2008,9,25,25.6,62,0.8,1.3
2008,9,26,26.3,72,0,2.6
2008,9,27,23.7,48,6.9,2.2
2008,9,28,19.8,60,0,1.8
2008,9,29,17.2,88,0,2.3
2008,9,30,19,92,0,1.6
2009,5,1,24.3,47,11.2,2.4
2009,5,2,22.8,56,11.8,3
2009,5,3,22.6,57,4.2,2.4
2009,5,4,21.8,57,0.2,1.2
2009,5,5,18.8,74,0,3.2
2009,5,6,20.2,79,0.6,1.9
2009,5,7,17.3,92,0.1,1.7
2009,5,8,19.8,78,1.4,1.7
2009,5,9,28.1,59,12.3,1.7
2009,5,10,28.2,58,10.2,2
2009,5,11,30.3,57,11.2,1.9
2009,5,12,28.2,65,10,2.7
2009,5,13,24.7,58,8.1,2.6
2009,5,14,24.6,40,13.1,2.3
2009,5,15,23.1,46,7.3,2.1
2009,5,16,19.9,74,0,1.6
2009,5,17,23.8,82,0.2,3
2009,5,18,23.8,50,9.7,2.7
2009,5,19,24.5,55,4.1,1.7
2009,5,20,29.3,45,10.3,1.5
2009,5,21,27.7,57,0.7,2
2009,5,22,23.1,69,0,1.7
2009,5,23,26.5,59,9.4,1.8
2009,5,24,26.1,62,3.6,2.4
2009,5,25,23,61,4.2,2.4
2009,5,26,26.8,59,8.4,1.9
2009,5,27,26.9,58,3,3.6
2009,5,28,21,69,0.2,4.5
2009,5,29,27.8,64,4.5,3.7
2009,5,30,28,71,4.2,3.1
2009,5,31,24.1,72,2.9,1.8
2009,6,1,26,48,12.3,2.3
2009,6,2,28.5,45,11.8,2.3
2009,6,3,26.3,51,0.5,2.9
2009,6,4,25.8,65,1,2
2009,6,5,21,79,0.4,3.2
2009,6,6,28,63,4.9,2.9
2009,6,7,25.6,64,3.3,2.3
2009,6,8,28.5,61,9.6,2
2009,6,9,26.1,69,0.5,2
2009,6,10,23.3,85,0,1.4
2009,6,11,26.4,71,6.4,3.4
2009,6,12,29.3,56,9.1,2.5
2009,6,13,27.8,60,6.4,2.6
2009,6,14,29.9,58,9.3,2
2009,6,15,30.7,53,11.7,2.3
2009,6,16,29.8,59,8,2.2
2009,6,17,31.5,56,11.3,2.1
2009,6,18,32.1,59,8.2,2.3
2009,6,19,32.3,64,10.4,2.5
2009,6,20,31.3,59,5.2,3
2009,6,21,29.1,80,2.9,2.1
2009,6,22,32.4,77,2.4,2.9
2009,6,23,30.4,65,7.5,3.6
2009,6,24,29.3,70,5.3,2.7
2009,6,25,31.7,61,8.1,2.6
2009,6,26,30.4,65,7.5,2.3
2009,6,27,30.4,64,5,2.3
2009,6,28,32.3,64,6.1,2.5
2009,6,29,29.3,76,0.7,1.7
2009,6,30,28.7,84,0,2.8
2009,7,1,33,75,6.1,3.9
2009,7,2,27.6,74,0.9,1.9
2009,7,3,28.1,70,2.4,1.8
2009,7,4,28.5,66,10,2.4
2009,7,5,29.2,66,1.6,1.6
2009,7,6,32,74,7.5,1.9
2009,7,7,30.3,70,3.6,2.8
2009,7,8,30.4,72,2.1,3.1
2009,7,9,33,69,4.6,3.7
2009,7,10,29.8,76,0.7,4.4
2009,7,11,29.9,63,4.6,2.6
2009,7,12,33,61,8,2.6
2009,7,13,34.3,64,7.1,3.6
2009,7,14,34.8,64,11.5,3.2
2009,7,15,34.2,55,11.2,4.7
2009,7,16,33.9,58,6.7,3
2009,7,17,28.8,79,0,2.7
2009,7,18,33.5,74,5.5,2.9
2009,7,19,33.4,73,2.3,3
2009,7,20,29.4,81,1,2
2009,7,21,27.5,87,0,2.5
2009,7,22,29.9,76,0.8,2.3
2009,7,23,33.2,67,6,2.1
2009,7,24,33.4,65,5,2.2
2009,7,25,32,73,1.5,2.4
2009,7,26,32.4,75,5.3,2.3
2009,7,27,28.7,85,0.5,1.5
2009,7,28,28.1,80,0,1.9
2009,7,29,34,70,4,2.6
2009,7,30,31.3,68,6.6,2.4
2009,7,31,32.3,68,6.5,2
2009,8,1,30.7,76,2.3,2
2009,8,2,31,74,6.4,1.7
2009,8,3,33.9,66,10,2.2
2009,8,4,34.7,62,10.8,2.6
2009,8,5,32.6,68,5.1,2.5
2009,8,6,32.5,73,0.4,2.3
2009,8,7,33.9,69,3.6,2.1
2009,8,8,36.3,62,11.4,2
2009,8,9,29.3,82,0,3.6
