year,month,day,temp,humidity,sun,wind
2008,9,15,26,82,0,1.8
2008,9,16,29.4,73,7.8,2.1
2008,9,17,26.3,81,0,1.6
2008,9,18,30.1,74,1.4,2.8
2008,9,19,29.8,78,5.4,3.8
2008,9,20,30.5,77,6.7,2.3
2008,9,21,27.4,79,4,2.1
2008,9,22,29.1,69,10.5,1.9
2008,9,23,30.4,75,2.8,2.2
2008,9,24,29.3,78,1.7,1.9
2008,9,25,32.1,70,3,2
2008,9,26,26,66,2.2,4.2
2008,9,27,25.2,48,9.7,3
2008,9,28,25.1,64,0.8,1.7
2008,9,29,21.1,86,0,1.7
2008,9,30,20.7,91,0,1.2
2009,5,1,23.8,39,11.6,2.3
2009,5,2,26.3,49,11.4,2.3
2009,5,3,22.9,56,0.2,1.9
2009,5,4,18.5,81,0,1.7
2009,5,5,22.7,73,9.9,2.7
2009,5,6,22.2,72,9.9,3.7
2009,5,7,21.6,67,7.7,2.5
2009,5,8,26.6,53,12.4,2.2
2009,5,9,28.6,42,12,1.9
2009,5,10,28.2,39,12.6,2.3
2009,5,11,28.8,48,12.5,2.1
2009,5,12,30.1,56,9.4,3
2009,5,13,23.9,71,8.4,3.6
2009,5,14,24.5,47,11.8,3.3
2009,5,15,23.5,40,0.4,2.5
2009,5,16,24.9,47,0,2.6
2009,5,17,24.2,69,0.2,3.6
2009,5,18,23.3,55,10.1,2.3
2009,5,19,26.3,51,8.1,2
2009,5,20,25.7,54,5.3,1.5
2009,5,21,27.4,63,0.5,3
2009,5,22,21.9,70,2.7,2.5
2009,5,23,26.4,64,8.4,2.3
2009,5,24,22.2,67,5.3,3.7
2009,5,25,22.8,69,9.8,4
2009,5,26,26.9,62,8.9,2.1
2009,5,27,22.6,71,0.1,2.9
2009,5,28,22.7,72,3.7,7
2009,5,29,20.2,77,0.4,7
2009,5,30,19.6,78,0,3.5
2009,5,31,25.8,52,10,2.1
2009,6,1,28.1,42,12.2,2.4
2009,6,2,29.5,49,7.8,3
2009,6,3,19.9,79,0,2.1
2009,6,4,25.4,74,4.6,1.9
2009,6,5,24,79,0.2,3.1
2009,6,6,22,85,0,4.8
2009,6,7,21.5,78,0,3.9
2009,6,8,24.2,72,7.6,2.7
2009,6,9,25.3,71,0,1.4
2009,6,10,23.3,80,0,2
2009,6,11,27.6,55,8.3,2.8
2009,6,12,28.9,57,4.2,2.7
2009,6,13,28,64,3,1.9
2009,6,14,26.8,71,10.8,2.6
2009,6,15,25.4,70,10.9,3.3
2009,6,16,26,66,9.8,2.3
2009,6,17,29.2,62,12.2,2.1
2009,6,18,32,56,10.7,2.2
2009,6,19,32,51,12.8,2.3
2009,6,20,30.9,55,11.9,2.5
2009,6,21,29.8,72,1.7,2.4
2009,6,22,31.8,70,0.9,3.5
2009,6,23,28.1,80,2.3,2.1
2009,6,24,29.4,70,5.3,1.9
2009,6,25,31.4,61,10.5,2.2
2009,6,26,31.1,63,12.1,2.2
2009,6,27,30.8,65,3,2.1
2009,6,28,30.7,76,5.6,2.1
